ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10
ESP,mod_uptake,0.0,1468.0210000000002,5586.5808,9661.018999999998,13520.775,17726.691700000003,23976.7988,29764.0049,34091.34819999999,39577.652799999996,44289.86719999999,219662.75939999998,4.493714412887754,917310.2565711571,4.448777268758876,6530.898454860675,4.4042894960712875,24604.919136393528,4.360246601110575,42124.42525801468,4.316644135099469,58364.37410574951,4.2734776937484735,75754.62156390621,4.230742916810989,101439.67169090222,4.188435487642879,124664.61437753655,4.14655113276645,141361.51849624544,4.105085621438786,162469.65343957648,4.064034765224398,179995.56004797172
KOR,mod_uptake,0.0,1001.335,3575.3978,4438.3613,5424.4519,7315.2094,9116.812399999999,12311.287900000001,13151.214499999998,13765.550599999999,15789.2831,85888.9039,11.090826786398114,887460.8248645208,10.979918518534133,10994.576709756377,10.870119333348791,38865.00075019274,10.761418140015303,47763.0618057619,10.65380395861515,57791.04712553747,10.547265919028998,77155.45879518056,10.441793259838708,95195.87026953395,10.33737532724032,127266.4037840123,10.234001573967916,134589.54989258965,10.131661558228236,139467.8998418656,10.030344942645954,158371.95589009023
BEL,max_uptake,0.0,1824.9641,4635.915,6427.948400000001,8446.2108,10962.397500000001,13015.3243,16278.721700000004,19617.026400000002,22234.181400000005,24609.6698,128052.35940000002,7.152207908378277,852699.0674003772,7.080685829294494,12921.99744184118,7.009878971001549,32497.203069850646,6.939780181291534,44608.54891268463,6.8703823794786185,58028.69785368201,6.801678555683832,74562.70399463206,6.733661770126994,87640.79166471488,6.666325152425724,108519.25191804847,6.5996619009014665,129465.74174105827,6.533665281892452,145270.69908447893,6.468328629073527,159183.4317193862
FRA,mod_uptake,0.0,5816.1203,10732.178600000001,14938.435399999998,17635.509400000003,20556.643799999998,25294.6892,27305.256299999997,29007.0672,32859.993700000006,35250.581399999995,219396.47530000002,4.135860205252538,848637.5411385105,4.094501603200012,23814.113892754132,4.0535565871680115,43503.49325869357,4.013021021296331,59948.25528547726,3.9728908110833676,70063.95324403436,3.9331619029725338,80852.60824713654,3.8938302839428083,98493.2268298811,3.85489198110338,105258.81355284255,3.816343061292346,110700.91963716081,3.7781796306794226,124150.95886159418,3.7403978343726285,131851.19832893604
KWT,max_uptake,0.0,522.7916,1401.8493999999998,2067.8478000000005,2624.8418,3217.4547,3969.6989999999996,4839.731000000001,5918.264499999999,6845.433,7919.583500000001,39327.4963,23.000997234939486,841934.549830653,22.77098726259009,11904.480864589093,22.54327738996419,31602.27988315486,22.317844616064548,46149.90589007093,22.094666169903903,57995.00331980967,21.873719508204864,70377.70163815543,21.654982313122815,85963.76163342132,21.438432489991587,103756.2463132195,21.22404816509167,125609.53080175216,21.011807683440754,143834.9217058789,20.801689606606345,164740.71778060112
GRC,max_uptake,0.0,2749.1846,5640.1215,8092.6299,10331.8908,14211.1114,17892.996000000003,20941.786,24700.966200000003,27735.8319,31086.468699999998,163382.987,4.965985583899728,755575.452204247,4.916325728060731,13515.88698016835,4.867162470780124,27451.3876954401,4.818490846072322,38994.26309380117,4.770305937611599,49286.28002999465,4.722602878235483,67113.43560056508,4.675376849453128,83656.49926575743,4.628623080958597,96931.63403609562,4.582336850149011,113188.1476525452,4.536513481647521,125823.97533905938,4.491148346831046,139613.94251082002
SVK,max_uptake,0.0,2176.1688999999997,4336.8058,6740.808999999999,9570.0182,11613.1126,13660.309799999999,16090.3086,17885.6403,20315.0952,21968.599000000002,124356.8674,6.424040952763539,744999.8382532625,6.359800543235903,13840.000152393075,6.296202537803544,27305.40768392113,6.233240512425509,42017.083745322474,6.170908107301253,59055.702897400544,6.10919902622824,70946.81618739892,6.048107035965958,82619.01581485472,5.9876259656062985,96342.74956797833,5.9277497059502355,106021.59902905668,5.868472208890733,119218.57160216953,5.8097874868018256,127632.89157276711
HUN,mod_uptake,0.0,3370.6993,7032.500899999999,10568.792599999999,13500.108100000001,15693.782199999998,18088.525,21404.588399999997,24127.6766,28174.037399999994,31055.213,173015.92349999998,4.568843848524205,737615.217921269,4.523155410038963,15246.196774409545,4.477923855938573,31491.00354701948,4.433144617379187,46852.98602688698,4.3888131712053955,59249.45224197665,4.344925039493342,68188.3072451349,4.301475789098409,77807.3523480013,4.258461031207425,91150.60559043447,4.21587642089535,101719.30286892848,4.173717656686397,117590.47735652288,4.131980480119533,128319.53392195437
CHL,mod_uptake,0.0,3123.224,5698.8577,8161.6922,10779.9385,13949.8742,18072.251,23461.314800000004,27084.4279,31003.177000000003,34968.0817,176302.839,4.2728472974110625,700912.2343839309,4.230118824436952,13211.608635333274,4.187817636192582,23865.776782211895,4.1459394598306565,33837.88175097208,4.10448006523235,44246.04267768072,4.0634352645800265,56684.41076073509,4.022800911934226,72701.06780350424,3.982572902814884,93436.39658688981,3.942747173786735,106787.0515563556,3.9033197020488677,121015.31161020831,3.864286505028379,135126.68622003982
ARE,mod_uptake,0.0,624.8616999999999,1211.8939999999998,1650.4096000000002,1851.1084999999998,2320.0004999999996,2798.5303000000004,3333.1179999999995,4214.0777,4470.7542,5331.6853,27806.4398,19.648625763812973,509453.4994329881,19.45213950617484,12154.89696046557,19.257618111113093,23338.191843149285,19.06504193000196,31465.128225677767,18.87439151070194,34938.5465577882,18.685647595594922,43350.71176460401,18.498791119638973,51769.4274616806,18.313803208442582,61042.067122517714,18.130665176358157,76404.03180585748,17.949358524594576,80247.17001113702,17.76986493934863,94743.32768011048
NLD,mod_uptake,0.0,1244.2041999999997,3185.3516,5155.321399999999,6024.3002,6799.620999999999,8296.2702,9332.217800000002,11239.4776,12518.4128,14334.4728,78129.64959999999,6.873149624740947,500977.16953321284,6.804418128493537,8466.085614027796,6.736373947208602,21457.719530939234,6.669010207736515,34380.89104076249,6.60232010565915,39774.358332986434,6.536296904602558,44444.34169477055,6.470933935556532,53684.616375726386,6.406224596200967,59784.28320746449,6.342162350238957,71282.59167107411,6.278740726736568,78599.86828146035,6.215953319469202,89102.41378400098
