ISO,scenario,diff_Y0,diff_Y1,diff_Y2,diff_Y3,diff_Y4,diff_Y5,diff_Y6,diff_Y7,diff_Y8,diff_Y9,diff_Y10,total_person_years_saved,emissions_factor_Y0,total_emissions,emissions_factor_Y1,emissions_Y1,emissions_factor_Y2,emissions_Y2,emissions_factor_Y3,emissions_Y3,emissions_factor_Y4,emissions_Y4,emissions_factor_Y5,emissions_Y5,emissions_factor_Y6,emissions_Y6,emissions_factor_Y7,emissions_Y7,emissions_factor_Y8,emissions_Y8,emissions_factor_Y9,emissions_Y9,emissions_factor_Y10,emissions_Y10,oecd_nonfood_ghg_t_per_capita,food_add_back_t_per_capita
CZE,mod_uptake,0.0,2584.623234397412,5134.049134214591,7649.178892234589,10141.380109551625,12667.426409174985,15227.90124289095,17746.304081896116,20192.465698562843,22558.725843643217,24912.552784678035,138814.60743124437,10.862595498190924,1507886.9297657753,10.862595498190924,28075.716710484994,10.862595498190924,55769.099012810424,10.862595498190924,83089.93619964448,10.862595498190924,110161.70992345846,10.862595498190924,137601.129085969,10.862595498190924,165414.5314879232,10.862595498190924,192770.92282953198,10.862595498190924,219342.58699458337,10.862595498190924,245046.31379408206,10.862595498190924,270614.9837272874,5.870397227151754,4.992198271039169
DEU,max_uptake,0.0,18825.813260874875,37967.55731878834,57452.3413512773,77512.38762752287,98285.76223861903,119494.19793544998,141062.70565963336,162861.5234206157,184912.751307938,207485.01324181244,1105860.0533625318,12.83449542757657,14193155.798420995,12.83449542757657,241619.81421710894,12.83449542757657,487294.4408042403,12.83449542757657,737371.8123765368,12.83449542757657,994832.384585985,12.83449542757657,1261448.1660474339,12.83449542757657,1533647.7370244623,12.83449542757657,1810468.650790144,12.83449542757657,2090245.4776700467,12.83449542757657,2373261.8611623337,12.83449542757657,2662965.4537427058,7.32379156458049,5.510703862996079
DEU,mod_uptake,0.0,10021.418264250797,20252.90031712679,30569.235527856115,41155.84154660333,52123.28186249251,63490.15554074051,74990.53701676565,86537.96528525132,98216.75974961938,110162.40020121758,587520.495311924,12.79773039884193,7518928.902796077,12.79773039884193,128251.40915991215,12.79773039884193,259191.1580532089,12.79773039884193,391216.8347842029,12.79773039884193,526701.3644508871,12.79773039884193,667059.7087790266,12.79773039884193,812529.8935909373,12.79773039884193,959708.6752049428,12.79773039884193,1107489.5489849886,12.79773039884193,1256951.6119234583,12.79773039884193,1409828.6978645124,7.32379156458049,5.47393883426144
DNK,max_uptake,0.0,713.855817904375,1442.3373719717083,2170.9258358977536,2914.3722043449006,3689.751237455917,4505.19251399338,5339.4665535086015,6190.591968414661,7044.894840739888,7924.8542042388,41936.24254846999,14.061056088813878,589667.8586281395,14.061056088813878,10037.566694879524,14.061056088813878,20280.786686286596,14.061056088813878,30525.509943213467,14.061056088813878,40979.151028973785,14.061056088813878,51881.79910363806,14.061056088813878,63347.764630165315,14.061056088813878,75078.53869323018,14.061056088813878,87046.26089083926,14.061056088813878,99058.66149543908,14.061056088813878,111431.81946147424,5.729722669530344,8.331333419283533
DNK,mod_uptake,0.0,380.4072040516979,761.8891081213796,1150.2084443974454,1538.366401809884,1948.0703805956769,2376.296807470947,2812.887687273483,3256.358112605068,3702.9490913538,4161.621958825602,22089.055196504985,14.036695221139407,310057.3355162661,14.036695221139407,5339.659983199471,14.036695221139407,10694.405203005535,14.036695221139407,16145.125374787815,14.036695221139407,21593.580320646226,14.036695221139407,27344.470201750562,14.036695221139407,33355.35404143627,14.036695221139407,39483.64715755358,14.036695221139407,45708.5063575221,14.036695221139407,51977.1678147284,14.036695221139407,58415.419061636145,5.729722669530344,8.306972551609064
ESP,max_uptake,0.0,7281.979953885468,14715.212952000338,22305.48035005889,30138.43510094256,38328.268797456,46870.09494740678,55542.99398422557,64421.193612914685,73419.8887929034,82787.22554708588,435810.7740388796,10.405199621728247,4534698.101174445,10.405199621728247,75770.45506160175,10.405199621728247,153114.72824180452,10.405199621728247,232092.9757008996,10.405199621728247,313596.43351180886,10.405199621728247,398813.2879927878,10.405199621728247,487692.6942171241,10.405199621728247,577935.9399943182,10.405199621728247,670315.379412382,10.405199621728247,763948.5990952484,10.405199621728247,861417.6079464691,4.435232573462001,5.969967048266247
ESP,mod_uptake,0.0,3901.3897412179895,7837.6646011482735,11810.53412375123,15909.622779711251,20168.49043973599,24622.42011751305,29121.57280563616,33727.74042778298,38354.29789935187,43173.61219309869,228627.3451289475,10.367646170672373,2370327.4192371233,10.367646170672373,40448.22841083917,10.367646170672373,81258.13338910931,10.367646170672373,122447.43888170482,10.367646170672373,164945.3396889153,10.367646170672373,209099.7726757712,10.367646170672373,255276.53964402058,10.367646170672373,301922.16278231045,10.367646170672373,349677.27889153594,10.367646170672373,397643.78974504286,10.367646170672373,447608.7351278737,4.435232573462001,5.932413597210373
EST,max_uptake,0.0,444.446465057272,889.586192510875,1335.353906356614,1784.527768100015,2248.414101160257,2719.333148824363,3190.766558696826,3654.59776918316,4122.168574403505,4595.756182439934,24984.950666732824,13.108901263003759,327525.25135122053,13.108901263003759,5826.204827126829,13.108901263003759,11661.497562556513,13.108901263003759,17505.02250959522,13.108901263003759,23393.198313111567,13.108901263003759,29474.238450455152,13.108901263003759,35647.46974915168,13.108901263003759,41827.44377125098,13.108901263003759,47907.761312215844,13.108901263003759,54037.100831312506,13.108901263003759,60245.314024444175,6.839536431419647,6.269364831584112
EST,mod_uptake,0.0,234.48235876400656,469.22827210697847,704.0263279306479,940.0852382733397,1183.678644440586,1430.8396704869144,1679.2019017850978,1923.603024822388,2168.5008246316047,2418.4609982083293,13152.107261449892,13.111528382321021,172444.22764583066,13.111528382321021,3074.422102087852,13.111528382321021,6152.299807518099,13.111528382321021,9230.861180563936,13.111528382321021,12325.954283421912,13.111528382321021,15519.836142130014,13.111528382321021,18760.494950140037,13.111528382321021,22016.903394902743,13.111528382321021,25221.37565627731,13.111528382321021,28432.360109243822,13.111528382321021,31709.720019544937,6.839536431419647,6.2719919509013735
FIN,max_uptake,0.0,1053.0107581094735,2118.5398762612003,3206.9279816858134,4309.7006476066745,5463.257489411497,6662.810614285746,7870.375030733642,9083.027176110245,10305.63257155938,11558.1102439274,61631.39238969107,12.464242773283386,768188.6372005998,12.464242773283386,13124.981731955664,12.464242773283386,26405.995342601345,12.464242773283386,39971.92892016767,12.464242773283386,53717.15515194622,12.464242773283386,68095.36768098359,12.464242773283386,83046.88904886694,12.464242773283386,98098.26509985181,12.464242773283386,113213.05583936872,12.464242773283386,128451.90630417288,12.464242773283386,144063.0920806848,6.021942797468768,6.442299975814619
