ISO,scenario,year,pi,pi_dose
LVA,max_uptake,3,0.9690306671664001,0.9675196342914579
LVA,max_uptake,4,0.9572257706588255,0.9551801321514344
LVA,max_uptake,5,0.9447655689843029,0.9421799755967808
LVA,max_uptake,6,0.931483782128842,0.9283515001962938
LVA,max_uptake,7,0.9174095148163348,0.9136962326190331
LVA,max_uptake,8,0.9024790165601976,0.8981722506188415
LVA,max_uptake,9,0.8866543974883304,0.8817306217340276
LVA,max_uptake,10,0.8699438786492725,0.8643659936907335
LVA,max_uptake,11,0.8522807070763595,0.8460146407112952
LVA,max_uptake,12,0.833645614982279,0.826664297467764
LVA,max_uptake,13,0.814042936106778,0.806318745733065
LVA,max_uptake,14,0.7934295933232202,0.7849735766482596
LVA,max_uptake,15,0.7719813195918178,0.762749869054816
LVA,mod_uptake,1,0.9903324419526057,0.9898223821182304
LVA,mod_uptake,2,0.9799577118855292,0.978940518415987
LVA,mod_uptake,3,0.9688184720691171,0.9673000611762452
LVA,mod_uptake,4,0.9569355310128317,0.9548992936212016
LVA,mod_uptake,5,0.9443980085687352,0.9418294898501689
LVA,mod_uptake,6,0.9310122021590835,0.9278958226291709
LVA,mod_uptake,7,0.9168439598916416,0.9131384749559998
LVA,mod_uptake,8,0.9017980575217619,0.8974790362404598
LVA,mod_uptake,9,0.8858442464437465,0.8808841976207636
LVA,mod_uptake,10,0.8689982674855873,0.8633595731115772
LVA,mod_uptake,11,0.8511877099774013,0.8448364918394935
LVA,mod_uptake,12,0.832438650719414,0.8253447395621092
LVA,mod_uptake,13,0.812735444582947,0.8048619500577247
LVA,mod_uptake,14,0.7920100265034474,0.7833322523619632
LVA,mod_uptake,15,0.7704628808004178,0.7609147627620301
MLT,max_uptake,1,0.995546976254069,0.9951817928957581
MLT,max_uptake,2,0.990714808890649,0.9899646578749545
MLT,max_uptake,3,0.9854360122307939,0.9842697166576687
MLT,max_uptake,4,0.9796413887720862,0.9780301343300454
MLT,max_uptake,5,0.9733455050379276,0.971246257331666
MLT,max_uptake,6,0.9664915601787071,0.9638610784667979
MLT,max_uptake,7,0.9590258775284549,0.955837541228848
MLT,max_uptake,8,0.9508997617193352,0.9471137944211878
MLT,max_uptake,9,0.9420378236599695,0.9376083843200912
MLT,max_uptake,10,0.9323852580668599,0.9272607873988908
MLT,max_uptake,11,0.9218618484173756,0.9159726050200162
MLT,max_uptake,12,0.910462824186807,0.9037628343557937
MLT,max_uptake,13,0.8981393192041659,0.8905825466217077
MLT,max_uptake,14,0.884870472290348,0.8764295751203582
MLT,max_uptake,15,0.8706868454011507,0.8613270559566627
MLT,mod_uptake,1,0.9954403117609435,0.9950572743559022
MLT,mod_uptake,2,0.9904796079145309,0.9897049854860615
MLT,mod_uptake,3,0.9850814576900274,0.9838820929120494
MLT,mod_uptake,4,0.9791538206028677,0.977497655056568
MLT,mod_uptake,5,0.9727156725484898,0.9705658388187205
MLT,mod_uptake,6,0.96569275648111,0.9630061696888612
MLT,mod_uptake,7,0.9580607495701964,0.954808424665337
MLT,mod_uptake,8,0.9497550068231708,0.9458981915201295
MLT,mod_uptake,9,0.9407142625920999,0.9362079463979057
MLT,mod_uptake,10,0.9308456888784605,0.9256441690444663
MLT,mod_uptake,11,0.9200771022887579,0.9141179764628599
MLT,mod_uptake,12,0.9084380278031277,0.9016702307378673
MLT,mod_uptake,13,0.8958623961350515,0.8882553125011455
MLT,mod_uptake,14,0.8823389700496463,0.8738770634617774
MLT,mod_uptake,15,0.8679236192534403,0.8585711134867855
NLD,max_uptake,1,0.9949223758498292,0.994562013657044
NLD,max_uptake,2,0.9892950845339488,0.988560826297284
NLD,max_uptake,3,0.9830492297568894,0.9819189069260004
NLD,max_uptake,4,0.9761599885063446,0.9746180684644941
NLD,max_uptake,5,0.9685992670490416,0.9666122346444161
NLD,max_uptake,6,0.9603202495073837,0.9578531779053647
NLD,max_uptake,7,0.951252336411609,0.9482758048669313
NLD,max_uptake,8,0.9413265096579488,0.9378041688968527
NLD,max_uptake,9,0.9305115173595288,0.9264056763001772
NLD,max_uptake,10,0.9187591444536132,0.914025288044285
NLD,max_uptake,11,0.9059980892136819,0.9005778933106708
NLD,max_uptake,12,0.8921854842792915,0.8860430581766586
NLD,max_uptake,13,0.8772002277853336,0.8702884547744576
NLD,max_uptake,14,0.8610179679659691,0.8532911386460116
NLD,max_uptake,15,0.8437325158042603,0.83512372600768
NLD,mod_uptake,1,0.9950646066970757,0.9946207934431386
NLD,mod_uptake,2,0.9896039499912854,0.9886890358248189
NLD,mod_uptake,3,0.983546408459434,0.9821282501035512
NLD,mod_uptake,4,0.976869447296644,0.9749144157731704
NLD,mod_uptake,5,0.9695364116333521,0.9670054727706711
NLD,mod_uptake,6,0.9615096532694547,0.9583538408066404
NLD,mod_uptake,7,0.9527145433347897,0.9488894659299575
NLD,mod_uptake,8,0.9430830319989617,0.9385367363328326
NLD,mod_uptake,9,0.9325936957432882,0.9272712249949732
NLD,mod_uptake,10,0.9211908523303017,0.9150241528177261
NLD,mod_uptake,11,0.9088296648462554,0.9017431504563036
NLD,mod_uptake,12,0.895444236616216,0.8873747512312313
NLD,mod_uptake,13,0.8809089149202849,0.8717921440449401
NLD,mod_uptake,14,0.8651993086464311,0.8549797823772107
NLD,mod_uptake,15,0.8483981817582218,0.8369907313195968
NOR,max_uptake,1,0.9967221543700863,0.9964690560128422
NOR,max_uptake,2,0.9930930535057139,0.9925669893480351
NOR,max_uptake,3,0.9890703358483207,0.9882524606197849
NOR,max_uptake,4,0.9846469273635274,0.9835150139795648
NOR,max_uptake,5,0.9797553098046424,0.9782864389241027
NOR,max_uptake,6,0.974383254169263,0.9725439668996765
NOR,max_uptake,7,0.9684470496488343,0.9662147483664183
NOR,max_uptake,8,0.96189931197803,0.9592489958444845
NOR,max_uptake,9,0.9546939997436068,0.9516001090060155
NOR,max_uptake,10,0.9467941123509583,0.943213181982849
NOR,max_uptake,11,0.9381593874298249,0.934069970713041
NOR,max_uptake,12,0.9287092811960739,0.9240765681157425
NOR,max_uptake,13,0.9183866302537873,0.913179092378955
NOR,max_uptake,14,0.9072455952897482,0.9014220811388898
NOR,max_uptake,15,0.8952235418594475,0.8887372421802678
NOR,mod_uptake,1,0.9967732838842668,0.9965233605536774
NOR,mod_uptake,2,0.9932139572955252,0.9926946576567227
NOR,mod_uptake,3,0.9892605771288769,0.988450485716408
NOR,mod_uptake,4,0.9849092864586145,0.9837900322252476
NOR,mod_uptake,5,0.9801011319390649,0.9786393206172878
NOR,mod_uptake,6,0.9748196260403106,0.9729912878019956
NOR,mod_uptake,7,0.9689825052573285,0.966759454625226
NOR,mod_uptake,8,0.9625304578553247,0.9598929758892042
NOR,mod_uptake,9,0.955435705358394,0.9523483209307353
NOR,mod_uptake,10,0.9476491780688144,0.9440807270906874
NOR,mod_uptake,11,0.939151208193458,0.935067806564372
NOR,mod_uptake,12,0.9298573043427758,0.9252313662565116
NOR,mod_uptake,13,0.9196855450773015,0.9144737083643635
NOR,mod_uptake,14,0.9086994327781988,0.9028631587433901
NOR,mod_uptake,15,0.8968649913812521,0.8903649722490132
NRU,max_uptake,1,0.998502973062914,0.9983913351156319
NRU,max_uptake,2,0.9968814062051008,0.9966493549399054
NRU,max_uptake,3,0.9951176534402307,0.9947554792776255
NRU,max_uptake,4,0.9931891794789637,0.9926865179613029
NRU,max_uptake,5,0.9910851100487804,0.9904321855030002
NRU,max_uptake,6,0.9887895796207867,0.9879732497290158
NRU,max_uptake,7,0.9862881842143835,0.985294681089364
NRU,max_uptake,8,0.9835528615920881,0.9823701556471912
NRU,max_uptake,9,0.9805554896296778,0.9791676817970054
NRU,max_uptake,10,0.9772820721441505,0.9756724533963157
NRU,max_uptake,11,0.9737091539110354,0.9718584800212665
NRU,max_uptake,12,0.9698143278624538,0.9677078046380785
NRU,max_uptake,13,0.9655663779964044,0.9631862139296505
NRU,max_uptake,14,0.9609302223330112,0.9582561537659018
NRU,max_uptake,15,0.9558925758303901,0.9529065335416261
NRU,mod_uptake,1,0.998507012731559,0.9983881561049084
NRU,mod_uptake,2,0.996889047653694,0.9966416673389519
NRU,mod_uptake,3,0.9951277030787328,0.9947423687449082
NRU,mod_uptake,4,0.9932017086115316,0.9926671926260016
NRU,mod_uptake,5,0.9911017114664759,0.990406292548938
NRU,mod_uptake,6,0.9888111453274636,0.9879400616026568
NRU,mod_uptake,7,0.9863089474735295,0.9852509188681569
NRU,mod_uptake,8,0.9835740518912218,0.9823162048860984
NRU,mod_uptake,9,0.9805785550070463,0.9791046582912927
NRU,mod_uptake,10,0.9773095378938742,0.9756018564679176
NRU,mod_uptake,11,0.9737376117678551,0.9717772464548593
NRU,mod_uptake,12,0.9698435726868033,0.9676148783062833
NRU,mod_uptake,13,0.9655996633935648,0.9630829277150782
NRU,mod_uptake,14,0.960966887246462,0.9581393551801968
NRU,mod_uptake,15,0.9559363405849597,0.9527766449984594
NZL,max_uptake,1,0.9968576900988275,0.9966293537460399
NZL,max_uptake,2,0.993445066838584,0.9929753098015875
NZL,max_uptake,3,0.989668570092907,0.9889399331437855
NZL,max_uptake,4,0.9855238192580528,0.984520129652173
NZL,max_uptake,5,0.9810220965458724,0.979718415118336
NZL,max_uptake,6,0.9761076650099688,0.9744834164210264
NZL,max_uptake,7,0.9707417803664977,0.968777828235212
NZL,max_uptake,8,0.964845828288622,0.9625109294517932
NZL,max_uptake,9,0.958319986174215,0.9555908741722844
NZL,max_uptake,10,0.9511765033004249,0.9480160354590861
NZL,max_uptake,11,0.9433943263059908,0.9397848626154235
NZL,max_uptake,12,0.9349118964089664,0.9308297198558614
NZL,max_uptake,13,0.9256659592435676,0.9210839344024059
NZL,max_uptake,14,0.9155666097756956,0.9104531051284394
NZL,max_uptake,15,0.9046665129866456,0.8990010990600034
NZL,mod_uptake,1,0.9968709002369126,0.9965939123598215
