panel,spec,label,uptake,step,value_Mt,n_countries,population_2022,per_capita_t,per_capita_kg
A_1yr_no_mortality,baseline_p90_ci,All foods P90 CI,mod_uptake,net_savings,51.10119589898184,53,1208896546.5,0.04227094208096643,42.27094208096643
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,mod_uptake,naive_reductions,1025.0200730495692,40,1184637982.0,0.8652601795858755,865.2601795858754
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,mod_uptake,rebound_effect,534.3004825460689,40,1184637982.0,0.4510242712664171,451.0242712664171
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,mod_uptake,actual_food_savings,490.7195905035002,40,1184637982.0,0.4142359083194584,414.2359083194584
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,mod_uptake,survivorship,194.96076933730174,40,1184637982.0,0.1645741334480543,164.57413344805428
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,mod_uptake,manufacturing,6.521615822057919,40,1184637982.0,0.005505155094763727,5.505155094763726
B_10yr_with_survivorship,baseline_p90_ci,All foods P90 CI,mod_uptake,net_savings,289.2372053441406,40,1184637982.0,0.2441566197766404,244.15661977664038
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,naive_reductions,34.90067661253114,53,1208896546.5,0.028869862118123885,28.869862118123887
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,rebound_effect,18.217416497137222,53,1208896546.5,0.015069458631410874,15.069458631410875
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,actual_food_savings,16.683260115393917,53,1208896546.5,0.013800403486713011,13.80040348671301
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,manufacturing,1.3326121641356403,53,1208896546.5,0.0011023376383974476,1.1023376383974475
A_1yr_no_mortality,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,net_savings,15.350647951258278,53,1208896546.5,0.012698065848315563,12.698065848315563
B_10yr_with_survivorship,cereal_sweets_up_p10_ci,Cereals/sweets + all-food P10 CI,max_uptake,naive_reductions,329.35988676657865,40,1184637982.0,0.27802576970436754,278.0257697043675
